Input Size,Average Time
1,0.0
2,9.5367431640625e-07
3,1.1920928955078125e-06
4,1.9073486328125e-06
5,1.1920928955078125e-06
6,2.1457672119140625e-06
7,2.86102294921875e-06
8,2.6226043701171875e-06
9,3.814697265625e-06
10,4.76837158203125e-06
11,7.152557373046875e-06
12,5.9604644775390625e-06
13,8.106231689453125e-06
14,6.9141387939453125e-06
15,1.0967254638671875e-05
16,1.1920928955078125e-05
17,1.2159347534179688e-05
18,1.5020370483398438e-05
19,1.7881393432617188e-05
20,1.9073486328125e-05
21,1.9073486328125e-05
22,2.4080276489257812e-05
23,2.3126602172851562e-05
24,2.7894973754882812e-05
25,1.9311904907226562e-05
26,2.6941299438476562e-05
27,2.8133392333984375e-05
28,3.981590270996094e-05
29,3.0040740966796875e-05
30,4.601478576660156e-05
31,3.1948089599609375e-05
32,4.00543212890625e-05
33,4.57763671875e-05
34,4.506111145019531e-05
35,5.6743621826171875e-05
36,6.079673767089844e-05
37,5.91278076171875e-05
38,6.318092346191406e-05
39,6.67572021484375e-05
40,7.486343383789062e-05
41,6.389617919921875e-05
42,7.605552673339844e-05
43,8.296966552734375e-05
44,8.106231689453125e-05
45,8.916854858398438e-05
46,9.512901306152344e-05
47,8.606910705566406e-05
48,9.918212890625e-05
49,0.00010323524475097656
50,0.0001010894775390625
51,0.00010895729064941406
52,0.00011515617370605469
53,0.000110626220703125
54,0.00012183189392089844
55,0.00013113021850585938
56,0.00014209747314453125
57,0.0001380443572998047
58,0.00013017654418945312
59,0.00015091896057128906
60,0.00014281272888183594
61,0.0001480579376220703
62,0.00016832351684570312
63,0.00015497207641601562
64,0.0001590251922607422
65,0.0001990795135498047
66,0.0002028942108154297
67,0.00020194053649902344
68,0.00016999244689941406
69,0.0001838207244873047
70,0.0001938343048095703
71,0.00019097328186035156
72,0.00018787384033203125
73,0.0002269744873046875
74,0.0002319812774658203
75,0.0002410411834716797
76,0.0002677440643310547
77,0.0002570152282714844
78,0.0002319812774658203
79,0.00025177001953125
80,0.00028586387634277344
81,0.00026798248291015625
82,0.00027298927307128906
83,0.0003132820129394531
84,0.00028204917907714844
85,0.0003018379211425781
86,0.0002849102020263672
87,0.0002949237823486328
88,0.00035309791564941406
89,0.0003440380096435547
90,0.0003440380096435547
91,0.0003247261047363281
92,0.0003452301025390625
93,0.0003941059112548828
94,0.0004200935363769531
95,0.0003898143768310547
96,0.00039505958557128906
97,0.0004031658172607422
98,0.00040984153747558594
99,0.00043487548828125
100,0.0004000663757324219
101,0.0004010200500488281
102,0.00041794776916503906
103,0.00045371055603027344
104,0.00042700767517089844
105,0.00046062469482421875
106,0.0004749298095703125
107,0.000518798828125
108,0.0005059242248535156
109,0.0005011558532714844
110,0.00048804283142089844
111,0.0005059242248535156
112,0.0005331039428710938
113,0.0005011558532714844
114,0.0005214214324951172
115,0.000553131103515625
116,0.0005712509155273438
117,0.0006189346313476562
118,0.0005939006805419922
119,0.0005900859832763672
120,0.0005831718444824219
121,0.0006940364837646484
122,0.0006551742553710938
123,0.0006616115570068359
124,0.0006730556488037109
125,0.00061798095703125
126,0.0007276535034179688
127,0.0006961822509765625
128,0.0007359981536865234
129,0.0007269382476806641
130,0.0007071495056152344
131,0.0006737709045410156
132,0.0007510185241699219
133,0.0007696151733398438
134,0.0007469654083251953
135,0.0007810592651367188
136,0.0008089542388916016
137,0.0007708072662353516
138,0.0007731914520263672
139,0.0008189678192138672
140,0.0009589195251464844
141,0.0009658336639404297
142,0.0009391307830810547
143,0.0009021759033203125
144,0.0007967948913574219
145,0.0008039474487304688
146,0.0009489059448242188
147,0.0008199214935302734
148,0.0010118484497070312
149,0.0009837150573730469
150,0.0010180473327636719
151,0.0009968280792236328
152,0.0009951591491699219
153,0.0010251998901367188
154,0.0009968280792236328
155,0.001035928726196289
156,0.001065969467163086
157,0.0009949207305908203
158,0.0009982585906982422
159,0.0009908676147460938
160,0.0012061595916748047
161,0.0010356903076171875
162,0.0011131763458251953
163,0.0011169910430908203
164,0.0011568069458007812
165,0.0011720657348632812
166,0.0012538433074951172
167,0.001096963882446289
168,0.001148223876953125
169,0.0010821819305419922
170,0.0011250972747802734
171,0.001371145248413086
172,0.001168966293334961
173,0.0012280941009521484
174,0.0013408660888671875
175,0.001232147216796875
176,0.0013530254364013672
177,0.0012090206146240234
178,0.001332998275756836
179,0.0012969970703125
180,0.0014088153839111328
181,0.0014450550079345703
182,0.0013980865478515625
183,0.0015039443969726562
184,0.0013780593872070312
185,0.0014019012451171875
186,0.0015060901641845703
187,0.0015110969543457031
188,0.0015032291412353516
189,0.0014841556549072266
190,0.0014472007751464844
191,0.0014789104461669922
192,0.0014579296112060547
193,0.0015883445739746094
194,0.0016739368438720703
195,0.0016720294952392578
196,0.0016007423400878906
197,0.00164794921875
198,0.0016858577728271484
199,0.0016512870788574219
200,0.0016367435455322266
201,0.0017600059509277344
202,0.0016219615936279297
203,0.0017621517181396484
204,0.0016279220581054688
205,0.0018429756164550781
206,0.0017728805541992188
207,0.0017528533935546875
208,0.0019118785858154297
209,0.0018029212951660156
210,0.002026081085205078
211,0.001953601837158203
212,0.0018062591552734375
213,0.0018570423126220703
214,0.001970052719116211
215,0.0020008087158203125
216,0.001980304718017578
217,0.0019702911376953125
218,0.002088785171508789
219,0.002046823501586914
220,0.0021588802337646484
221,0.001961946487426758
222,0.0019009113311767578
223,0.002122163772583008
224,0.002089977264404297
225,0.0021200180053710938
226,0.0021800994873046875
227,0.002053976058959961
228,0.0021657943725585938
229,0.0023508071899414062
230,0.0024259090423583984
231,0.002268075942993164
232,0.0023059844970703125
233,0.002246856689453125
234,0.0022978782653808594
235,0.0022220611572265625
236,0.0023779869079589844
237,0.002452850341796875
238,0.0023889541625976562
239,0.002301931381225586
240,0.002418994903564453
241,0.0024771690368652344
242,0.0025780200958251953
243,0.002557992935180664
244,0.002270936965942383
245,0.0025129318237304688
246,0.0025839805603027344
247,0.002530813217163086
248,0.0024497509002685547
249,0.0026330947875976562
250,0.002582073211669922
251,0.002597332000732422
252,0.002515077590942383
253,0.0027649402618408203
254,0.0026760101318359375
255,0.0026559829711914062
256,0.0027472972869873047
257,0.0026412010192871094
258,0.0029680728912353516
259,0.002695798873901367
260,0.0029320716857910156
